starting_loading_file  กำลังโหลดปลั๊กอิน
tree_check_protect_and_not_found  ต้นไม : บล็อคนี้ไม่มีโพเทคของระบบ Main
tps_below_than_17  เซิฟเวอร์กำลังแลค
what_the_hell  สงสัยฝันไป !!@#
unloaded_plugin  ปิดปลั๊กอิน
starting  กำลังเริ่ม
recall  recall
done  done
loaded_plugin  โหลดปลั๊กอินสำเร็จ
loaded_file  โหลดไฟล์สำเร็จ
complete  สำเร็จ
please_set_block_1  กรุณาใช้ Wooden hoe เลือกบล็อค 1 (ด้วยการคลิกซ้าย)
dewa_diamond_sword_null  dewa ต้องใช้ ดาบเพชรคลิกขวาบางบล็อคเพื่อกำหนดทิศทาง
don't_have_enough_item  ของไม่พอ
you_don't_have_permission_for_delete  คุณไม่มีสิทธิใช้คำสั่งลบ
loaded_skywar_file  โหลดไฟล์ skywar เสร็จ
ok_you_can_chat_now  คุณพูดได้แล้ว
admin_invisible_mode_off  เลิกหายตัว
please_drop_item_before_item  โยนของก่อนพูด
teleported_to_skyblock  วาปไปยัง skyblock
this_is_hardcore_skyblock  นี่คือ rs skyblock
searching_freezone_for_build_skyblock  กำลังค้นหาที่ว่าง เพื่อสร้างเกาะให้
added  เพิ่มแล้ว
to_your_skyblock  ไปยังเกาะของคุณ
use_money  ใช้เงิน
admin_invisible_mode_on  หายตัว
you_have_more_than_1_home_so_choose_it  คุณมีบ้านหลายบ้านต้องใส่ชื่อเจ้าของบ้านเพิ่มต่อท้าย
host_is  เจ้าของคือ
not_you  ไม่ใช่คุณ
already_added_this_name_so_not_work  มีชื่อนี้อยู่แล้วเพิ่มไม่ได้
it_is_not_a_block  ไม่ใช่บล็อค
this_world_is_not_skyblock  โลกนี้ไม่ใช่โลก skyblock
error_argument_1_what_the_hell_item  ไอเทมอะไรเนี่ยไม่รู้จัก
argument_1_what_the_hell_item  ไม่รู้จักไอเทม
diamondsword_seted_dewa_block  ใช้ดาบเพชรเลือกบล็อคเสร็จแล้ว ใช่ร่วมกับคำสั่ง /dewa
this_is_not_your_zone  นี่ไม่ใช่เขตของคุณ
search  ค้นหา
can't_go_to_skywar_world_empty_your_inven  วาปไปโลก skywar ไม่ได้ เก็บของทั้งหมดก่อนไป
auto_sort_chest_2_is_not_chest  เรียงของในกล่องไม่ได้เพราะมันไม่ใช่กล่อง
can_be_creative_mode_not_admin  ได้เป็นเกมโหมดแต่ไม่ได้เป็นแอดมิน
gift_not_found_item  gift ไม่เจอไอเทม
don't_break_hanging_picture_not_yours  ห้ามทำลายรูปในเขตคนอื่น
gived_item  ให้ของแล้ว
argument_2_is_radius  ตัวแปรที่สองคือ รัศมี
